titles,links,text,prices
Leica M3 single stroke + DR Summicron 50mm F/2 lens,https://fotohandeldelfshaven.nl/product/leica-m3-single-stroke-ridig-dr-summicron-50mm-f-2-lens/,"
Leica M3 single stroke + DR Summicron 50mm F/2 lens

Price: €2.500,00Fully serviced Leica M3 body with perfect matching 50mm Dual Range Rigid Summicron lens. The Leica M3 is a true classic and started the Leica M range as we still know it today. No fancy bells and whistles, just your main exposure settings, all mechanical and therefore very reliable. The  .....
Add to cartLeica M3 single stroke + DR Summicron 50mm F/2 lensMaartenSeptember 12, 2023September 17, 2023","Price: €2.500,00"
Olympus Pen FT + Zuiko 38mm f/1.8,https://fotohandeldelfshaven.nl/product/olympus-pen-ft-zuiko-38mm-f-1-8/,"
Olympus Pen FT + Zuiko 38mm f/1.8

Price: €350,00A Olympus Pen FT kit with a Zuiko 38mm f/1.8 lens. The kit is in good cosmetical condition with some regular marks of use. Button of the self timer is missing. Shutter speeds are within tolarance of our shutter speed tester. Light meter is accurate when there is enough light  .....
Add to cartOlympus Pen FT + Zuiko 38mm f/1.8MaartenSeptember 12, 2023September 12, 2023","Price: €350,00"
"Nikon F100 professional autofocus SLR, boxed",https://fotohandeldelfshaven.nl/product/nikon-f100-professional-autofocus-slr-boxed/,"
Nikon F100 professional autofocus SLR, boxed

Price: €400,00The Nikon F100 is probably the best autofocus SLR ever made. It’s very similar as the F6 is appearance but was actually based on the NIkon F5. It features the same amazing lightmeter and focusing system, but is not as fast in terms of FPS, but who needs this anyway  .....
Add to cartNikon F100 professional autofocus SLR, boxedMaartenSeptember 12, 2023September 12, 2023","Price: €400,00"
Fuji GW670III w/ EBC Fujinon 90mm f/3.5,https://fotohandeldelfshaven.nl/product/fuji-gw670iii-w-ebc-fujinon-90mm-f-3-5/,"
Fuji GW670III w/ EBC Fujinon 90mm f/3.5

Price: €2.000,00The Fuji GW series, or also known as the Texas Leica, was made in multiple film formats. The 690 is always the most common model. This is a GW670 III which shoots 10 shots in 6×7 format on 120 film which would be a perfect more affordable alternative to the  .....
Add to cartFuji GW670III w/ EBC Fujinon 90mm f/3.5MaartenSeptember 12, 2023September 12, 2023","Price: €2.000,00"
Canon F-1n + FD 50mm f/1.8 Chrome nose,https://fotohandeldelfshaven.nl/product/canon-f-1n-fd-50mm-f-1-8-chrome-nose/,"
Canon F-1n + FD 50mm f/1.8 Chrome nose

Price:   SoldThe Canon F-1n is a slightly tweaked original F-1 with number of usability upgrades. For example the winding crank now moves further outward and is rubber tipped for more comfort. Also there is a memo tab holder on the rear film door. This example is in good looking condition with  .....
Read moreCanon F-1n + FD 50mm f/1.8 Chrome noseMaartenSeptember 12, 2023September 28, 2023",Price:   Sold
Canon FD 135mm f/2.5 SC,https://fotohandeldelfshaven.nl/product/canon-fd-135mm-f-2-5-sc/,"
Canon FD 135mm f/2.5 SC

Price: €120,00The FD 135mm f/2.5 SC is a lens that has been in the canon lineup for multiple generations starting in the rangefidner days with this lens being made for the reflex housings. The Canonflex and FL also had this lens and this is the last iteration being made for the  .....
Add to cartCanon FD 135mm f/2.5 SCMaartenSeptember 12, 2023September 12, 2023","Price: €120,00"
Canon lens FD 50mm F/1.2 L,https://fotohandeldelfshaven.nl/product/canon-lens-fd-50mm-f-1-2-l/,"
Canon lens FD 50mm F/1.2 L

Price: €850,00Lens in excellent condition with some light use marks on the barrel but nothing major. Smooth focus and good working aperture. Optics in very nice condition, free of scratches, fungus or haze. A very sought after fast FD lens with excellent optical performance.
Add to cartCanon lens FD 50mm F/1.2 LMaartenSeptember 12, 2023September 12, 2023","Price: €850,00"
Pentax KX black + 55mm F/1.8 lens,https://fotohandeldelfshaven.nl/product/pentax-kx-black-55mm-f-1-8-lens/,"
Pentax KX black + 55mm F/1.8 lens

Price:   SoldThe Pentax KX is a 35mm mechanical SLR camera with a built in lightmeter. The exposure settings have to be dailed in by hand, there is no aperture priority mode as on later models. The lightmeter readout is located on the right side inside the viewfinder and shows both the  .....
Read morePentax KX black + 55mm F/1.8 lensMaartenSeptember 12, 2023September 26, 2023",Price:   Sold
Bronica Zenzanon-PE 40mm f/4 for ETRSi,https://fotohandeldelfshaven.nl/product/bronica-zenzanon-pe-40mm-f-4-for-etrsi/,"
Bronica Zenzanon-PE 40mm f/4 for ETRSi

Price:   SoldA nice ultrawide for the Bronica ETRSi and older models. This Zenzanon-PE 40mm f/4 is the widest lens that is not a fisheye. Good cosmetics with minimal wear. Smooth focus with good dampening and good working aperture. Good optics without haze or fungus.
Read moreBronica Zenzanon-PE 40mm f/4 for ETRSiMaartenSeptember 12, 2023September 19, 2023",Price:   Sold
Olympus OM-10 with Manual Adapter + OM 50mm F/3.5 macro lens,https://fotohandeldelfshaven.nl/product/olympus-om-10-with-manual-adapter-om-50mm-f-3-5-macro-lens/,"
Olympus OM-10 with Manual Adapter + OM 50mm F/3.5 macro lens

Price:   SoldWhen the OM10 came out it was aimed at hobby and amateur photographers who wanted an easy to operate camera. To keep things easy Olympus made it an aperture priority camera, meaning you just have to set the aperture on the lens and the camera will figure out the shutterspeed  .....
Read moreOlympus OM-10 with Manual Adapter + OM 50mm F/3.5 macro lensMaartenSeptember 12, 2023September 16, 2023",Price:   Sold
"Leica Leicaflex SL2 black body, OUTLET",https://fotohandeldelfshaven.nl/product/leica-leicaflex-sl2-black-body-outlet/,"
Leica Leicaflex SL2 black body, OUTLET

Price: €200,00Here we have a Leicaflex SL2 in stylish black chrome finish, sold as an outlet model due to some remarks. The shutter is good in the midrange but long times and the fast times are too long. The prism has bad desilvering, making the finder view rather cloudy. The lightmeter  .....
Add to cartLeica Leicaflex SL2 black body, OUTLETMaartenSeptember 12, 2023September 12, 2023","Price: €200,00"
KMZ Horizon USSR Panoramic Camera Outlet,https://fotohandeldelfshaven.nl/product/kmz-horizon-ussr-panoramic-camera-outlet/,"
KMZ Horizon USSR Panoramic Camera Outlet

Price: €200,00The KMZ Horizon is an interesting panoramic camera from the soviet union. This exact one has a latin font which means it is a export model. The camera was film tested by on of our friends and unfortunately seems to have a spacing issue. Exposures did seem fine when it  .....
Add to cartKMZ Horizon USSR Panoramic Camera OutletMaartenSeptember 12, 2023September 12, 2023","Price: €200,00"
"Leica M2 body, OUTLET",https://fotohandeldelfshaven.nl/product/leica-m2-body-outlet/,"
Leica M2 body, OUTLET

Price: €600,00This Leica M2 has seen some better days and is sold as an OUTLET camera. It is in need for a big overhaul but since we have so many we have decided to sell it as is and let the buyer decide. It can be restored but is also a  .....
Add to cartLeica M2 body, OUTLETMaartenSeptember 12, 2023September 12, 2023","Price: €600,00"
"Rolleicord Vb TLR camera, recent service",https://fotohandeldelfshaven.nl/product/rolleicord-vb-tlr-camera-recent-service/,"
Rolleicord Vb TLR camera, recent service

Price:   SoldThe Rolleicord series, based on the famous Rolleiflex named ones, were aimed to be a bit more affordable compared to their big brothers, but still share most of their features. This Vb is the last Rolleicord model to be in production and houses a beautiful rendering Xenar 75mm F/3.5 lens.  .....
Read moreRolleicord Vb TLR camera, recent serviceMaartenSeptember 12, 2023September 16, 2023",Price:   Sold
Hasselblad 500EL + 4/150 + a70,https://fotohandeldelfshaven.nl/product/hasselblad-500el-4-150-a70/,"
Hasselblad 500EL + 4/150 + a70

Price: €500,00The Hasselblad 500EL camera was Hasselblads first motorized / professional camera. It became famous due to a specail adjusted variant of these was the first to take pictures on the moon. This camera has been made around 1970, just a few years after. This kit comes with a specail A70  .....
Add to cartHasselblad 500EL + 4/150 + a70MaartenSeptember 12, 2023September 12, 2023","Price: €500,00"
Exakta Twin TL + 55mm f/1.4 Exaktar lens,https://fotohandeldelfshaven.nl/product/exakta-twin-tl-55mm-f-1-4-exaktar-lens/,"
Exakta Twin TL + 55mm f/1.4 Exaktar lens

Price: €160,00The Exakta Twin TL is a camera made for Ihagee west in japan with a matching exaktar 55mm f/1.4 which is probably based of the tomioka 55mm f/1.4. The camera has a special bayonet lens mount and two shutter releases. The camera is sold as a collectible. Shutter was tested  .....
Add to cartExakta Twin TL + 55mm f/1.4 Exaktar lensMaartenSeptember 12, 2023September 12, 2023","Price: €160,00"
Nikon F Waist level finder in leather case,https://fotohandeldelfshaven.nl/product/nikon-f-waist-level-finder-in-leather-case/,"
Nikon F Waist level finder in leather case

Price: €150,00This silver colored waist level finder is suited for the original Nikon F. Quite rare to find separate. This one comes in good cosmetic condition, some regular marks on the finish but still pretty enough for a collection. Comes in the original leather case.
Add to cartNikon F Waist level finder in leather caseMaartenSeptember 12, 2023September 12, 2023","Price: €150,00"
KMZ DRUG w/ Industar-50 50mm f/3.5,https://fotohandeldelfshaven.nl/product/kmz-drug-w-industar-50-50mm-f-3-5/,"
KMZ DRUG w/ Industar-50 50mm f/3.5

Price: €250,00The KMZ Drug is a pretty uncommon camera that originally was developed as the Zorki 7. It has a bright line viewfinder with two framelines and a leicavit like transport on the bottom for quickly transporting your film. This model still shoots but the shutter was not tested for accuracy  .....
Add to cartKMZ DRUG w/ Industar-50 50mm f/3.5MaartenSeptember 12, 2023September 12, 2023","Price: €250,00"
ZENIT-14 + Helios-44K-4 58mm 1:2,https://fotohandeldelfshaven.nl/product/zenit-14-helios-44k-4-58mm-12/,"
ZENIT-14 + Helios-44K-4 58mm 1:2

Price: €300,00The Zenit 14 is a very rare model of Zenit identical to the Zenit-Automat, but semi-automatic. It has a electromechanical shutter and electronic selftimer. According to the website sovietcams.com just 567 were made of this camera. The camera and lens are both in very nice cosmetical condition. Of course the  .....
Add to cartZENIT-14 + Helios-44K-4 58mm 1:2MaartenSeptember 12, 2023September 12, 2023","Price: €300,00"
"Hasselblad PME90 prism finder, Boxed",https://fotohandeldelfshaven.nl/product/hasselblad-pme90-prism-finder-boxed/,"
Hasselblad PME90 prism finder, Boxed

Price: €350,00The PME90 meter prism is a very advanced later model made for the hasselblad V system. It also has the blue stripes on the side. The prism uses CR123A batteries and has a illuminated meter display on the bottom of the image. This example looks pretty good with regular signs  .....
Add to cartHasselblad PME90 prism finder, BoxedMaartenSeptember 12, 2023September 12, 2023","Price: €350,00"
"Polaroid SX-70 Sonar AF, worn",https://fotohandeldelfshaven.nl/product/polaroid-sx-70-sonar-af-worn/,"
Polaroid SX-70 Sonar AF, worn

Price:   SoldPolaroid folding SX-70 camera with AF. Chrome metal parts with black leather coverings. Camera shows very obvious signs of use. Previous owner stated it was succesfully used recently, but we have not confirmed this ourselves with a filmtest and therefore sell it for a reduced price. Nice for display or  .....
Read morePolaroid SX-70 Sonar AF, wornMaartenSeptember 12, 2023September 22, 2023",Price:   Sold
Canon FD 35mm f/3.5 SC,https://fotohandeldelfshaven.nl/product/canon-fd-35mm-f-3-5-sc/,"
Canon FD 35mm f/3.5 SC

Price:   SoldThis FD 35mm f/3.5 is a nice budget option if you’re looking for a affordable 35mm lens for your FD camera. The lens looks almost like new with no noticable marks on the barrel and a very clean appearance. The focus is smooth and the aperture is snappy. Good optics  .....
Read moreCanon FD 35mm f/3.5 SCMaartenSeptember 12, 2023September 12, 2023",Price:   Sold
Plustek Optikfilm 7500i 35mm film scanner with iSRD,https://fotohandeldelfshaven.nl/product/plustek-optikfilm-7500i-35mm-film-scanner-with-isrd/,"
Plustek Optikfilm 7500i 35mm film scanner with iSRD

Price:   SoldDedicated 35mm filmscanner suited for negatives and slides. Much sharper results than your standard Epson V600/800 flatbed scanners and this model has iSRD for easy dust and scratch correction. On max resolution can deliver roughly 24mp files on 6400 dpi. Comes with 35mm negative strip that holds 6 frames, or  .....
Read morePlustek Optikfilm 7500i 35mm film scanner with iSRDMaartenSeptember 12, 2023September 12, 2023",Price:   Sold
Nikon Nikkor 50mm 1:2 pre AI lens. OUTLET,https://fotohandeldelfshaven.nl/product/nikon-nikkor-50mm-12-pre-ai-lens-outlet/,"
Nikon Nikkor 50mm 1:2 pre AI lens. OUTLET

Price: €400,00This Nikon standard lens is a good user even though it has a light fungus around edges in inner element. cleaning is recommended but you’ll probably never notice any influnece to images. neat cosmetics. smooth focus and a good functional aperture. Clearance . sold without warranty. comes supplied with caps
Add to cartNikon Nikkor 50mm 1:2 pre AI lens. OUTLETMaartenSeptember 12, 2023September 12, 2023","Price: €400,00"
Carl Zeiss / AusJena Biometar 2.8 / 80mm and Flektogon 2.8 / 65mm P6. Outlet,https://fotohandeldelfshaven.nl/product/carl-zeiss-ausjena-biometar-2-8-80mm-and-flektogon-2-8-65mm-p6-outlet/,"
Carl Zeiss / AusJena Biometar 2.8 / 80mm and Flektogon 2.8 / 65mm P6. Outlet

Price:   SoldThe 80mm lens has a little bit of fungus around edges behind front element. focus bit heavy and irregular. Aperture in good working order. cosmetics good considering it’s age. Sold as a clearance item without warranty. The Flektogon 65mm comes with nice cosmetics. dot of fungus in the rear. good  .....
Read moreCarl Zeiss / AusJena Biometar 2.8 / 80mm and Flektogon 2.8 / 65mm P6. OutletMaartenSeptember 12, 2023September 16, 2023",Price:   Sold
Mamiya Sekor-C 80mm 1:1.9 N lens for M645,https://fotohandeldelfshaven.nl/product/mamiya-sekor-c-80mm-11-9-n-lens-for-m645/,"
Mamiya Sekor-C 80mm 1:1.9 N lens for M645

Price: €280,00This is the famous super fast standard lens for your Mamiya M645. Unfortunately this lens has some internal haze in the rear group and usually this haze is between a glued element. We are not able to service this lens and so are selling it for a strongly reduced price  .....
Add to cartMamiya Sekor-C 80mm 1:1.9 N lens for M645MaartenSeptember 12, 2023September 12, 2023","Price: €280,00"
"Polaroid SX-70 lot of 7, Clearance",https://fotohandeldelfshaven.nl/product/polaroid-sx-70-lot-of-7-clearance/,"
Polaroid SX-70 lot of 7, Clearance

Price: €400,00This lot contains 7x Polaroid SX-70 cameras. not thoroughly tested but all declined by our test department. some or all will not be functional in it’s actual condition. one with beautiful covering. some which devinately are in need for replacement of their leatherette. Sold as clearance lot without any warranty.  .....
Add to cartPolaroid SX-70 lot of 7, ClearanceMaartenSeptember 12, 2023September 12, 2023","Price: €400,00"
"Lot of 6x Leica lens containers. plastic. Most M, 1x R",https://fotohandeldelfshaven.nl/product/lot-of-6x-leica-lens-containers-plastic-most-m-1x-r/,"
Lot of 6x Leica lens containers. plastic. Most M, 1x R

Price: €90,00Nice lot to store your Leica lenses. Included are 6 plastic lens containers of which 5 has the Leica M mount and one the Leica R mount. Two are perfect to fot standard lenses and the rest is perfect for portrait lenses. Good condition in general. no obvious defects. some  .....
Add to cartLot of 6x Leica lens containers. plastic. Most M, 1x RMaartenSeptember 12, 2023September 12, 2023","Price: €90,00"
"Olympus MJU-II 35mm point and shoot, OUTLET",https://fotohandeldelfshaven.nl/product/olympus-mju-ii-35mm-point-and-shoot-outlet/,"
Olympus MJU-II 35mm point and shoot, OUTLET

Price: €90,00Olympus MJU-II sold as a clearance item. This camera has probably a flex cable issue. It turns on, gets lightmeter readings, but often misses or even refuses to get in focus. Flash and display work. Cosmetics are good. Can be used for parts or repair attempt of focusing system. No  .....
Add to cartOlympus MJU-II 35mm point and shoot, OUTLETMaartenSeptember 12, 2023September 12, 2023","Price: €90,00"
"Leica 10555 0-serie Oskar Barnack 1879-2004 Limited Edition set, boxed",https://fotohandeldelfshaven.nl/product/leica-10555-0-serie-oskar-barnack-1879-2004-limited-edition-set-boxed/,"
Leica 10555 0-serie Oskar Barnack 1879-2004 Limited Edition set, boxed

Price:   SoldOskar Barnack is the designer of the original Leica which is regarded as the start of 35mm film photography. In the 1920s he came up with the first portable and even pocketable stills camera, called the Leica 0 serie. Most camera’s in that era were made of wood or heavy  .....
Read moreLeica 10555 0-serie Oskar Barnack 1879-2004 Limited Edition set, boxedMaartenSeptember 12, 2023September 12, 2023",Price:   Sold
"Lot of 3x Rolleiflex SL35 SLR cameras with issues, OUTLET",https://fotohandeldelfshaven.nl/product/lot-of-3x-rolleiflex-sl35-slr-cameras-with-issues-outlet/,"
Lot of 3x Rolleiflex SL35 SLR cameras with issues, OUTLET

Price: €90,00This lot contains 3 Rollei SL35 SLR cameras with some shutter issues. In need for repair or to be used for decorative purposes. The speeds have been tested on our machine and are all off in the higher speeds. 1 of the lightmeters gives wrong readings too. Despite their mechanical  .....
Add to cartLot of 3x Rolleiflex SL35 SLR cameras with issues, OUTLETMaartenSeptember 12, 2023September 12, 2023","Price: €90,00"
Jupiter-8 50mm f/2 black Leica screw mount lens,https://fotohandeldelfshaven.nl/product/jupiter-8-50mm-f-2-black-leica-screw-mount-lens/,"
Jupiter-8 50mm f/2 black Leica screw mount lens

Price: €70,00A black finish with green letters Jupiter 8 lens made in 1974. Carl Zeiss Sonnar lens formula. Good cosmetics. Smooth focus and aperture works correctly with correct scale. Optics in good condition. some minimal cleaning marks on the front element which should not affect images.
Add to cartJupiter-8 50mm f/2 black Leica screw mount lensMaartenSeptember 12, 2023September 12, 2023","Price: €70,00"
"Carl Zeiss Jena Biotar 58mm f/2 Biotar lens, Exakta mount",https://fotohandeldelfshaven.nl/product/carl-zeiss-jena-biotar-58mm-f-2-biotar-lens-exakta-mount/,"
Carl Zeiss Jena Biotar 58mm f/2 Biotar lens, Exakta mount

Price: €180,00This Carl Zeiss Jena Biotar 58mm f/2 with exakta coupling arm is branded Jena but it still has the original name plate mounted underneath. Cosmetically in excellent condition. Some paint on the focus ring has faded away. The focus is smooth and aperture mechanism works like a treat. Optics are  .....
Add to cartCarl Zeiss Jena Biotar 58mm f/2 Biotar lens, Exakta mountMaartenSeptember 12, 2023September 12, 2023","Price: €180,00"
"Meyer Trioplan 50mm f/2.9, Exa mount",https://fotohandeldelfshaven.nl/product/meyer-trioplan-50mm-f-2-9-exa-mount/,"
Meyer Trioplan 50mm f/2.9, Exa mount

Price: €120,00A preset aperture Trioplan 50mm f/2.9 with exa mount. These Trioplan lenses are famed for their bubbly bokeh which can be used in many ways. It focuses down to 0.6 meter. Preset aperture with 10 blades works correctly. Optics are in decent shape with only some slight dust, no fungus  .....
Add to cartMeyer Trioplan 50mm f/2.9, Exa mountMaartenSeptember 12, 2023September 12, 2023","Price: €120,00"
Contarex Bulls-Eye w/ Carl Zeiss Planar 50mm f/2 lens,https://fotohandeldelfshaven.nl/product/contarex-bulls-eye-w-carl-zeiss-planar-50mm-f-2-lens/,"
Contarex Bulls-Eye w/ Carl Zeiss Planar 50mm f/2 lens

Price: €350,00The Contarex Bullseye is a familiar camera for the camera collector due to it’s special placement of the lightmeter cell, just above the lens. This camera is still firing but not tested for accuracy. The lightmeter actually sometimes still moves but probably not accuracate anymore. The camera really feels over  .....
Add to cartContarex Bulls-Eye w/ Carl Zeiss Planar 50mm f/2 lensMaartenSeptember 12, 2023September 12, 2023","Price: €350,00"
"Minolta Auto Bellows III + Slide copier attachment + focusing rail, boxed kit",https://fotohandeldelfshaven.nl/product/minolta-auto-bellows-iii-slide-copier-attachment-focusing-rail-boxed-kit/,"
Minolta Auto Bellows III + Slide copier attachment + focusing rail, boxed kit

Price: €150,00Minolta Auto bellows III macro setup kit. Comes with the Auto bellows III base, slide copier attachment and the focusing rail. All in their original packaging/box. Some regular signs of earlier use but still in perfect condition. Perfect for digitizing your film strips nowadays.
Add to cartMinolta Auto Bellows III + Slide copier attachment + focusing rail, boxed kitMaartenSeptember 12, 2023September 12, 2023","Price: €150,00"
"Massive lot of ROLLEI Bay I filters, Rolleinar and hood",https://fotohandeldelfshaven.nl/product/massive-lot-of-rollei-bay-i-filters-rolleinar-and-hood/,"
Massive lot of ROLLEI Bay I filters, Rolleinar and hood

Price: €180,00Massive lot of Rollei filters. Mostly Bay 1, some marked 28.5 . All kinds and variations. check pictures. some additional pouches which are empty. sold as found. amy have some marks. might be bit dirty but most will be perfectly usable after a clean. Not all filters are genuine Rollei.  .....
Add to cartMassive lot of ROLLEI Bay I filters, Rolleinar and hoodMaartenSeptember 12, 2023September 12, 2023","Price: €180,00"
Leica M4 empty box only,https://fotohandeldelfshaven.nl/product/leica-m4-empty-box-only/,"
Leica M4 empty box only

Price:   SoldThis is a genuine Leica M4 box only. Even though no serial numer can be found it will be a nice box to display together with your Leica M4 camera. Velvet inlay present but no other contents. General good condition considering it’s age
Read moreLeica M4 empty box onlyMaartenSeptember 12, 2023September 17, 2023",Price:   Sold
Carl Zeiss Dialyt 8x30B with leather pouch boxed,https://fotohandeldelfshaven.nl/product/carl-zeiss-dialyt-8x30b-with-leather-pouch-boxed/,"
Carl Zeiss Dialyt 8x30B with leather pouch boxed

Price: €250,00The Zeiss Dialyts are very well regarded binocular with very high build quality and good glass. This 8x30B looks virtually new. Good glass without any haze. It comes with it’s brown leather pouch with strap and original Zeiss foam packaging. A rare find these days in this condition.
Add to cartCarl Zeiss Dialyt 8x30B with leather pouch boxedMaartenSeptember 12, 2023September 12, 2023","Price: €250,00"
Big lot of Hasselblad V system accessories and parts,https://fotohandeldelfshaven.nl/product/big-lot-of-hasselblad-v-system-accessories-and-parts/,"
Big lot of Hasselblad V system accessories and parts

Price: €250,00A box with multiple hasselblad accesoires, including a compendium for bay 60, a chimney finder, C12 back, 150mm lens hood for bay 50, lens hood for C 50mm distagon, a lens bubble, a leather lens container, 2 extension tubes, a pistol grip. Sold as clearance lot. untested
Add to cartBig lot of Hasselblad V system accessories and partsMaartenSeptember 12, 2023September 12, 2023","Price: €250,00"
Leica leather case for IIIF with Leicavit,https://fotohandeldelfshaven.nl/product/leica-leather-case-for-iiif-with-leicavit/,"
Leica leather case for IIIF with Leicavit

Price: €200,00This Leica case has been made for the IIIF with the Leicavit (SYOOM) attached. Rare find in excellent condition. just light sings of previous use. Sings of aging. beautiful add-on to any Leica collection
Add to cartLeica leather case for IIIF with LeicavitMaartenSeptember 12, 2023September 12, 2023","Price: €200,00"
Ensign No.1 Ensignette aluminium camera in leather case,https://fotohandeldelfshaven.nl/product/ensign-no-1-ensignette-aluminium-camera-in-leather-case/,"
Ensign No.1 Ensignette aluminium camera in leather case

Price:   SoldAn interesting and very small british made folding camera from the 1910s that uses a special engisn E1 film making six 3.8×5.7cm exposures. The camera could be considered a miniature camera due to it’s pocketable size. This camera is the aluminium version with a TTH Luxor Anastigmat f/7.7 lens. The  .....
Read moreEnsign No.1 Ensignette aluminium camera in leather caseMaartenSeptember 12, 2023September 12, 2023",Price:   Sold
Rolleiflex 2.8F Miniature digital camera,https://fotohandeldelfshaven.nl/product/rolleiflex-2-8f-miniature-digital-camera/,"
Rolleiflex 2.8F Miniature digital camera

Price: €250,00A beautiful small Rolleiflex 2.8F copy. digital version where your taken images can be reviewed in the waist level finder. very low resolution though but a good fun camera and a beautiful addition to any camera collection. The camera uses a single CR2 battery and stores the pictures on a  .....
Add to cartRolleiflex 2.8F Miniature digital cameraMaartenSeptember 12, 2023September 12, 2023","Price: €250,00"
"Voigtlander Nokton 40mm F/1.4 MC for Leica M, boxed",https://fotohandeldelfshaven.nl/product/voigtlander-nokton-40mm-f-1-4-mc-for-leica-m-boxed/,"
Voigtlander Nokton 40mm F/1.4 MC for Leica M, boxed

Price:   SoldVoigtlander 40mm F/1.4 lens for Leica M mount. Nokton lens design that results in beautiful color rendition, a nice 3D look and classic image rendering. When used wide open this lens is very dreamy with good bokeh, sometimes a light flare and quite a vignet. When stopped down a bit  .....
Read moreVoigtlander Nokton 40mm F/1.4 MC for Leica M, boxedMaartenSeptember 12, 2023October 4, 2023",Price:   Sold
Leica Leitz 14088 soft shutte release OZTNO,https://fotohandeldelfshaven.nl/product/leica-leitz-14088-soft-shutte-release-oztno/,"
Leica Leitz 14088 soft shutte release OZTNO

Price:   SoldThe Leica Leitz 14088 soft shutter release is also known as OZTNO. high end and very useful accessoiry for your early Leica M3 camera but also fit’s most other Ms. Comes in a beautiful condition and is perfect to use.
Read moreLeica Leitz 14088 soft shutte release OZTNOMaartenSeptember 12, 2023September 17, 2023",Price:   Sold
Hasselblad Carl Zeiss 250mm F/5.6 Sonnar T* black,https://fotohandeldelfshaven.nl/product/hasselblad-carl-zeiss-250mm-f-5-6-sonnar-t-black/,"
Hasselblad Carl Zeiss 250mm F/5.6 Sonnar T* black

Price: €220,00Nice telephoto lens for Hasselblad V series bodies. Translated to 35mm format this lens gives the field of view of around 135mm, perfect for tight headshots or close up work. Beautiful copy with only very little usermarks. Comes with good optics, only some very tiny dust specs inside. Control rings  .....
Add to cartHasselblad Carl Zeiss 250mm F/5.6 Sonnar T* blackMaartenSeptember 12, 2023September 12, 2023","Price: €220,00"
"8x Fujifilm Pro 400H in 120 format, expired 06-2023",https://fotohandeldelfshaven.nl/product/8x-fujifilm-pro-400h-in-120-format-expired-06-2023/,"
8x Fujifilm Pro 400H in 120 format, expired 06-2023

Price:   Sold8 rolls of the nowadays hard to find Fuji Pro 400H films in 120 format. The true Kodak Portra 400 competitor which offers excellent skin tone reproduction and lovely popping greens. Great for nature, weddings and portraiture. 8 rolls, only expired in june of this year so will still be  .....
Read more8x Fujifilm Pro 400H in 120 format, expired 06-2023MaartenSeptember 12, 2023September 12, 2023",Price:   Sold
Bronica ETR 120 film magazine,https://fotohandeldelfshaven.nl/product/bronica-etr-120-film-magazine-2/,"
Bronica ETR 120 film magazine

Price: €130,00Filmback for use on the Bronica ETR series cameras. 15 exposures on a roll of 120 film. Leather coverings a bit shrunk but the backs were checked by our technician for spacing and lightseals, both perfect user condition. later version with double release on the door latch.
Add to cartBronica ETR 120 film magazineMaartenSeptember 12, 2023September 12, 2023","Price: €130,00"
"Bronica Compendium for GS-1 , 72mm thread",https://fotohandeldelfshaven.nl/product/bronica-compendium-for-gs-1-72mm-thread/,"
Bronica Compendium for GS-1 , 72mm thread

Price: €30,00This compendium is originally made for the Bronica GS-1, and comes with the 150-250mm mask insert and 72mm mounting ring. Bellows in good condition and screws can be smoothly operated.
Add to cartBronica Compendium for GS-1 , 72mm threadMaartenSeptember 12, 2023September 12, 2023","Price: €30,00"
Nikon F3 focusing screen type L,https://fotohandeldelfshaven.nl/product/nikon-f3-focusing-screen-type-l/,"
Nikon F3 focusing screen type L

Price: €50,00Type L focusing screen for Nikon F3. Type L: Same as Type A screen but with split-image rangefinder line at a 45° angle. General good condition. without case
Add to cartNikon F3 focusing screen type LMaartenSeptember 12, 2023September 12, 2023","Price: €50,00"
Mamiya RZ67 standard focusing screen Type A,https://fotohandeldelfshaven.nl/product/mamiya-rz67-standard-focusing-screen-type-a/,"
Mamiya RZ67 standard focusing screen Type A

Price: €80,00Original focusing screen for the RZ67, type A. Perfect cosmetical and optical condition in original protective sleeve.
Add to cartMamiya RZ67 standard focusing screen Type AMaartenSeptember 12, 2023September 12, 2023","Price: €80,00"
"Mamiya RB67 Pro S Rotating adapter, 6×7 and 6×8 variant",https://fotohandeldelfshaven.nl/product/mamiya-rb67-pro-s-rotating-adapter-6x7-and-6x8-variant/,"
Mamiya RB67 Pro S Rotating adapter, 6×7 and 6×8 variant

Price: €40,00The part that mounts between the RB67 body and a filmback and allows the back to be rotated. Marked 6×7 and 6×8 on the side. ProS marking on the release tab. Needs some new lightseals but this can easily be done since its only 1 channel on either side.
Add to cartMamiya RB67 Pro S Rotating adapter, 6×7 and 6×8 variantMaartenSeptember 12, 2023September 12, 2023","Price: €40,00"
Rollei SL66 40mm extension tube,https://fotohandeldelfshaven.nl/product/rollei-sl66-40mm-extension-tube/,"
Rollei SL66 40mm extension tube

Price:   SoldThis Rollei SL66 extension tube can be used for close-up photography. It has a length of 40mm. Maybe also a good item for adapting old lenses to your SL66.
Read moreRollei SL66 40mm extension tubeMaartenSeptember 12, 2023September 14, 2023",Price:   Sold
